trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9960079893439915}",20,0,-76.12121501745564,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9920319148370607}",30,12,-125.00313953546932,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.9880717128619305}",25,0,-131.7590744766899,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9841273200552851}",20,8,-90.89919281531347,"{0: 4, 1: 2, 2: 5, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-57.52698323819977,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9762857097579093}",20,0,-159.97322861795516,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9723883668012469}",20,0,-141.5851715784738,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9685065820791976}",20,0,-116.38763858206036,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9646402934831231}",30,0,-82.32518181120571,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-92.32129198037663,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9569539574730467}",30,0,-175.79702557033647,"{0: 13, 1: 6, 2: 8, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9531337870775047}",30,0,-209.2074310451665,"{0: 14, 1: 7, 2: 4, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9493288668428895}",25,0,-91.00352110147585,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9455391358903963}",20,0,-128.65417520655234,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-21.9140291345623,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9380049995307295}",25,0,-129.66990349453502,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9342604735772135}",30,0,-141.94352111775459,"{0: 16, 1: 8, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9305308958112057}",30,0,-133.09427927095012,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9268162065593822}",30,0,-156.77199109638968,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,1,-145.72811526454333,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,0,-165.44073855010367,"{0: 11, 1: 5, 2: 5, 3: 3, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-102.28846196971193,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-64.5400910685398,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-133.61806031854871,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-105.22994927366422,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-41.94134003563508,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-162.173522982293,"{0: 15, 1: 0, 2: 4, 3: 5, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-80.91104712370368,"{0: 14, 1: 6, 2: 3, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-226.0883990787454,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",20,0,-69.34856911914122,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
11,True,"{'a': 0, 'e': 0}",20,0,-135.17061354077487,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
12,True,"{'a': 0, 'e': 0}",25,0,-187.49718831244064,"{0: 10, 1: 3, 2: 10, 3: 0, 4: 2}",0
13,True,"{'a': 0, 'e': 0}",20,0,-135.43859615983928,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
14,True,"{'a': 0, 'e': 0}",30,0,-158.9184397100064,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
15,True,"{'a': 0, 'e': 0}",30,0,-212.77582431431068,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
16,True,"{'a': 0, 'e': 0}",25,13,-59.72918345795547,"{0: 5, 1: 4, 2: 1, 3: 2, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,6,15.837456922019923,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",30,0,-152.26998697762323,"{0: 17, 1: 5, 2: 4, 3: 3, 4: 1}",0
19,True,"{'a': 0, 'e': 0}",25,0,-36.91057162643769,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
20,True,"{'a': 0, 'e': 0}",25,0,-106.18411474960388,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
21,True,"{'a': 0, 'e': 0}",30,0,-102.35184407362156,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
22,True,"{'a': 0, 'e': 0}",20,0,-59.821775794307776,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
23,True,"{'a': 0, 'e': 0}",20,0,-90.08846263546624,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
24,True,"{'a': 0, 'e': 0}",20,0,-67.51797875199414,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
25,True,"{'a': 0, 'e': 0}",30,0,-207.72351003070014,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
